,GCA_001633485.1,GCA_001639645.1,GCA_001633355.1,GCA_001633675.1,GCA_001633575.1,GCA_001633495.1,GCA_001633505.1,GCA_001633405.1,GCA_001633545.1,GCA_001633335.1,GCA_001633415.1,GCA_001633325.1,GCA_001639485.1,GCA_001633595.1,GCA_001633565.1,GCA_001633665.1,GCA_001633605.1,GCA_001633645.1,GCA_001308305.1,GCA_000203855.3,GCA_001633435.1
Cluster_61,,,,,,,,,,,,,EMNCPJML_00405,,,,,,,,
Cluster_63,LNKPBJJO_02169,,,,,JOBNEEKL_01533,,,,,,,,,,,,,,,
Cluster_64,,,,,,,,,,ECBNDIDM_03022,,IMJNKLBI_refound_26,,,,,,,,,
Cluster_65,LNKPBJJO_00521,PEOCBFCP_frag_02856_02857,GKBMFCDM_frag_02822_02823,GKMEBLJL_01820,,JOBNEEKL_00200,GACBFOHJ_01361,LLFCPLKD_frag_00790_00791,FNJAKAKL_00087,,,,EMNCPJML_02220,PLFJNGPA_01426,PGJOJFNN_02249,ODFDBHOD_frag_00489_00490,IAPKCFHA_01727,BDHOLPHL_01107,DELEFPOC_01450,,HBJIBEPC_02133
Cluster_66,LNKPBJJO_00988,PEOCBFCP_02423,GKBMFCDM_02389,GKMEBLJL_02985,HKAMFFJN_01083,JOBNEEKL_01057,GACBFOHJ_00953,LLFCPLKD_01263,FNJAKAKL_03109,ECBNDIDM_02821,LFPJLIBK_02248,IMJNKLBI_02889,EMNCPJML_00470,PLFJNGPA_01029,PGJOJFNN_02813,ODFDBHOD_01309,IAPKCFHA_01954,BDHOLPHL_02124,DELEFPOC_01923,AHNHBFNE_02253,HBJIBEPC_02421
Cluster_67,,,,,,,,,,,,,,,PGJOJFNN_02841,,,,,,
Cluster_68,,PEOCBFCP_01477,GKBMFCDM_01168,GKMEBLJL_00389,HKAMFFJN_00258,,GACBFOHJ_02759,LLFCPLKD_00130,FNJAKAKL_00685,ECBNDIDM_01781,LFPJLIBK_00853,IMJNKLBI_02169,EMNCPJML_01796,PLFJNGPA_02587,,ODFDBHOD_01984,IAPKCFHA_02303,BDHOLPHL_01656,DELEFPOC_00613,AHNHBFNE_00319,
Cluster_69,,,,,,,,,,,,,,,,,,,,,HBJIBEPC_01450
Cluster_70,,,,,,,GACBFOHJ_00136,LLFCPLKD_02224,FNJAKAKL_01516,ECBNDIDM_00537,,IMJNKLBI_00536,,PLFJNGPA_00136,,ODFDBHOD_00409,,,,AHNHBFNE_01257,
Cluster_71,,PEOCBFCP_02581,GKBMFCDM_02547,GKMEBLJL_01310,,,GACBFOHJ_02455,LLFCPLKD_00598,FNJAKAKL_01968,,LFPJLIBK_02626,,EMNCPJML_00669,PLFJNGPA_02297,PGJOJFNN_01891,ODFDBHOD_02853,IAPKCFHA_01392,BDHOLPHL_01508,DELEFPOC_00896,AHNHBFNE_02612,HBJIBEPC_01269
Cluster_72,LNKPBJJO_01185,PEOCBFCP_02799,GKBMFCDM_02765,GKMEBLJL_01877,HKAMFFJN_01636,JOBNEEKL_00143,GACBFOHJ_01420,LLFCPLKD_01604,FNJAKAKL_00146,ECBNDIDM_01857,LFPJLIBK_01518,IMJNKLBI_01901,EMNCPJML_01425,PLFJNGPA_01485,PGJOJFNN_02306,ODFDBHOD_00549,IAPKCFHA_01784,BDHOLPHL_01164,DELEFPOC_01507,AHNHBFNE_00871,HBJIBEPC_02076
Cluster_73,LNKPBJJO_01186,PEOCBFCP_02800,GKBMFCDM_02766,GKMEBLJL_01876,HKAMFFJN_01637,JOBNEEKL_00144,GACBFOHJ_01419,LLFCPLKD_01603,FNJAKAKL_00145,ECBNDIDM_01858,LFPJLIBK_01517,IMJNKLBI_01902,EMNCPJML_01426,PLFJNGPA_01484,PGJOJFNN_02305,ODFDBHOD_00548,IAPKCFHA_01783,BDHOLPHL_01163,DELEFPOC_01506,AHNHBFNE_00870,HBJIBEPC_02077
Cluster_74,LNKPBJJO_00989,PEOCBFCP_02422,GKBMFCDM_02388,GKMEBLJL_02986,HKAMFFJN_01084,JOBNEEKL_01058,GACBFOHJ_00952,LLFCPLKD_01262,FNJAKAKL_03110,ECBNDIDM_02820,LFPJLIBK_02249,IMJNKLBI_02888,EMNCPJML_00469,PLFJNGPA_01028,PGJOJFNN_02812,ODFDBHOD_01308,IAPKCFHA_01953,BDHOLPHL_02123,DELEFPOC_01922,AHNHBFNE_02254,HBJIBEPC_02420
Cluster_75,,,,,,,,,,ECBNDIDM_01918,LFPJLIBK_01460,IMJNKLBI_01962,,,,,,,,AHNHBFNE_00814,
Cluster_76,LNKPBJJO_02198,,,,,JOBNEEKL_01938,,,FNJAKAKL_01707,,,,,,,,,,,,HBJIBEPC_01680
Cluster_77,LNKPBJJO_00698,PEOCBFCP_00156,GKBMFCDM_00154,GKMEBLJL_02330,HKAMFFJN_00685,JOBNEEKL_02276,GACBFOHJ_00255,LLFCPLKD_02105,FNJAKAKL_02630,ECBNDIDM_00418,LFPJLIBK_00153,IMJNKLBI_00417,EMNCPJML_01490,PLFJNGPA_00255,PGJOJFNN_00257,ODFDBHOD_00290,IAPKCFHA_00156,BDHOLPHL_00154,DELEFPOC_02521,AHNHBFNE_01375,HBJIBEPC_00476
Cluster_78,LNKPBJJO_01668,PEOCBFCP_02016,GKBMFCDM_01984,GKMEBLJL_00431,HKAMFFJN_00759,JOBNEEKL_00824,GACBFOHJ_02863,LLFCPLKD_00012,FNJAKAKL_01564,ECBNDIDM_01716,LFPJLIBK_02931,IMJNKLBI_01773,EMNCPJML_01676,PLFJNGPA_02691,PGJOJFNN_00669,ODFDBHOD_01865,IAPKCFHA_00535,BDHOLPHL_00600,DELEFPOC_00734,AHNHBFNE_00457,HBJIBEPC_00880
Cluster_79,,,GKBMFCDM_00734,,,,,,,,,,,PLFJNGPA_01683,,,,,,,
Cluster_80,,,,,,,,,,,,,,,,,,,,,HBJIBEPC_01602
Cluster_82,,,,,HKAMFFJN_02273,,,,,,LFPJLIBK_01176,,,,,,,,,,
Cluster_83,,,,,,,,,,,,,,,,,,,,,HBJIBEPC_01603
Cluster_84,,,,,,,,,FNJAKAKL_02444,,,,,,,,,,,,
Cluster_85,,,,,HKAMFFJN_refound_48,,GACBFOHJ_01618,,,,LFPJLIBK_00957,,,,,,,,,,
Cluster_86,LNKPBJJO_00759,PEOCBFCP_01223,GKBMFCDM_02068,GKMEBLJL_00719,HKAMFFJN_00005,JOBNEEKL_02158,GACBFOHJ_02617,LLFCPLKD_02621,FNJAKAKL_00924,ECBNDIDM_03126,LFPJLIBK_00795,IMJNKLBI_03051,EMNCPJML_02356,PLFJNGPA_02864,PGJOJFNN_01068,ODFDBHOD_02583,IAPKCFHA_00686,BDHOLPHL_02961,DELEFPOC_02942,AHNHBFNE_01797,HBJIBEPC_00057
Cluster_87,,,,GKMEBLJL_01659,,,,,,,,,,,,,,,,,HBJIBEPC_01631
Cluster_88,LNKPBJJO_01727,PEOCBFCP_01623,GKBMFCDM_01639,GKMEBLJL_02917,HKAMFFJN_02205,JOBNEEKL_01748,GACBFOHJ_01729,LLFCPLKD_02353,FNJAKAKL_00534,ECBNDIDM_01378,LFPJLIBK_02499,IMJNKLBI_01372,EMNCPJML_02913,PLFJNGPA_01794,PGJOJFNN_02972,ODFDBHOD_02310,IAPKCFHA_02616,BDHOLPHL_02789,DELEFPOC_00066,AHNHBFNE_02845,HBJIBEPC_02697
Cluster_89,,,,GKMEBLJL_overlap_1_stop;GKMEBLJL_overlap_2_stop;GKMEBLJL_overlap_3_stop;GKMEBLJL_overlap_4_stop;GKMEBLJL_overlap_5;GKMEBLJL_overlap_6_stop;GKMEBLJL_overlap_7_stop;GKMEBLJL_overlap_8_stop;GKMEBLJL_overlap_9;GKMEBLJL_overlap_10;GKMEBLJL_overlap_11;GKMEBLJL_overlap_12;GKMEBLJL_overlap_13;GKMEBLJL_overlap_14_stop;GKMEBLJL_overlap_15;GKMEBLJL_overlap_16;GKMEBLJL_overlap_17;GKMEBLJL_overlap_18_stop;GKMEBLJL_overlap_19_stop;GKMEBLJL_overlap_20;GKMEBLJL_overlap_21;GKMEBLJL_overlap_22;GKMEBLJL_overlap_23;GKMEBLJL_overlap_24;GKMEBLJL_overlap_25_stop;GKMEBLJL_overlap_26;GKMEBLJL_overlap_27;GKMEBLJL_overlap_28,HKAMFFJN_00405,,,,,,,,,,,,,,,,
Cluster_90,LNKPBJJO_00215,PEOCBFCP_01411,GKBMFCDM_02256,GKMEBLJL_02200,HKAMFFJN_00190,JOBNEEKL_02706,GACBFOHJ_00484,LLFCPLKD_01887,FNJAKAKL_01249,ECBNDIDM_00194,LFPJLIBK_00379,IMJNKLBI_00194,EMNCPJML_00062,PLFJNGPA_00483,PGJOJFNN_00033,ODFDBHOD_00073,IAPKCFHA_00383,BDHOLPHL_00379,DELEFPOC_02745,AHNHBFNE_01597,HBJIBEPC_00255
Cluster_91,,PEOCBFCP_01076,GKBMFCDM_01571,,,,,,,,,,,,,,,,,,
Cluster_92,LNKPBJJO_00331,PEOCBFCP_02158,GKBMFCDM_01811,GKMEBLJL_01204,HKAMFFJN_frag_01351_01352,JOBNEEKL_00437,GACBFOHJ_02358,LLFCPLKD_00705,FNJAKAKL_02768,ECBNDIDM_02713,LFPJLIBK_02895,IMJNKLBI_02780,EMNCPJML_01364,PLFJNGPA_02394,PGJOJFNN_00965,ODFDBHOD_02959,IAPKCFHA_01285,BDHOLPHL_01402,DELEFPOC_01002,AHNHBFNE_02505,HBJIBEPC_01367
Cluster_93,,PEOCBFCP_01081,GKBMFCDM_01576,,,,,,,,,,,,,,,,,,
Cluster_94,,PEOCBFCP_02234,GKBMFCDM_01887,GKMEBLJL_01128,HKAMFFJN_00485,,,LLFCPLKD_00556,FNJAKAKL_02848,,,,,,,ODFDBHOD_00857,IAPKCFHA_01209,BDHOLPHL_01325,DELEFPOC_01079,,
Cluster_95,LNKPBJJO_01470,,,,,JOBNEEKL_01386,,,,ECBNDIDM_02629,,IMJNKLBI_02696,,,PGJOJFNN_00972,,,,,AHNHBFNE_02426,
Cluster_96,,,,,,,,,,,,,,,,,IAPKCFHA_02334,,,,
Cluster_97,LNKPBJJO_02760,PEOCBFCP_00292,GKBMFCDM_00290,GKMEBLJL_02466,HKAMFFJN_02437,JOBNEEKL_02411,GACBFOHJ_00089,LLFCPLKD_02765,FNJAKAKL_03035,ECBNDIDM_00584,LFPJLIBK_00018,IMJNKLBI_00583,EMNCPJML_01148,PLFJNGPA_00089,PGJOJFNN_00448,ODFDBHOD_02731,IAPKCFHA_00019,BDHOLPHL_00018,DELEFPOC_02385,AHNHBFNE_01209,HBJIBEPC_00613
Cluster_98,,PEOCBFCP_01651,,,,,,,,,,IMJNKLBI_01291,,,,,,,,,
Cluster_99,,,,,,,,,,,LFPJLIBK_01454,,,,,,,,,,
Cluster_100,LNKPBJJO_02700,PEOCBFCP_00232,GKBMFCDM_00230,GKMEBLJL_02406,HKAMFFJN_02377,JOBNEEKL_02351,GACBFOHJ_00180,LLFCPLKD_02180,FNJAKAKL_02555,ECBNDIDM_00493,LFPJLIBK_00078,IMJNKLBI_00492,EMNCPJML_01979,PLFJNGPA_00180,PGJOJFNN_00333,ODFDBHOD_00365,IAPKCFHA_00080,BDHOLPHL_00078,DELEFPOC_02445,AHNHBFNE_01300,HBJIBEPC_00551
Cluster_101,LNKPBJJO_00994,PEOCBFCP_02417,GKBMFCDM_02383,GKMEBLJL_02991,HKAMFFJN_01089,JOBNEEKL_01063,GACBFOHJ_00947,LLFCPLKD_01257,FNJAKAKL_03115,ECBNDIDM_02815,LFPJLIBK_02254,IMJNKLBI_02883,EMNCPJML_00464,PLFJNGPA_01023,PGJOJFNN_02807,ODFDBHOD_01303,IAPKCFHA_01948,BDHOLPHL_02118,DELEFPOC_01917,AHNHBFNE_02259,HBJIBEPC_02415
Cluster_102,,,,,,,,,FNJAKAKL_01581,,,,,,,,,,,,
Cluster_103,LNKPBJJO_01394,,,,,JOBNEEKL_02825,,,,,,,,,,,,,,,HBJIBEPC_02839
Cluster_104,,,,,,,,,,,,,EMNCPJML_02567,,,,,,,,
Cluster_105,,PEOCBFCP_00736,,,HKAMFFJN_refound_1,,,LLFCPLKD_02975,,,,,EMNCPJML_refound_1,,,ODFDBHOD_03096,IAPKCFHA_01012,BDHOLPHL_00568,DELEFPOC_02207,AHNHBFNE_01042,
Cluster_106,,,,,HKAMFFJN_03035,,,,,,,,EMNCPJML_00518,,,,,,,,
Cluster_107,LNKPBJJO_01076,PEOCBFCP_02336,GKBMFCDM_02302,GKMEBLJL_03072,HKAMFFJN_01171,JOBNEEKL_01145,GACBFOHJ_00866,LLFCPLKD_01177,FNJAKAKL_03195,ECBNDIDM_01165,LFPJLIBK_02334,IMJNKLBI_01154,EMNCPJML_00951,PLFJNGPA_00942,PGJOJFNN_02726,ODFDBHOD_01223,IAPKCFHA_01868,BDHOLPHL_02038,DELEFPOC_01837,AHNHBFNE_02340,HBJIBEPC_02335
Cluster_108,LNKPBJJO_01242,PEOCBFCP_01090,GKBMFCDM_00761,GKMEBLJL_01411,HKAMFFJN_01250,JOBNEEKL_02511,GACBFOHJ_01199,LLFCPLKD_01034,FNJAKAKL_01127,ECBNDIDM_02554,LFPJLIBK_00723,IMJNKLBI_02485,EMNCPJML_01079,PLFJNGPA_01275,PGJOJFNN_01559,ODFDBHOD_01043,IAPKCFHA_02457,BDHOLPHL_02579,DELEFPOC_01774,AHNHBFNE_01926,HBJIBEPC_02539
Cluster_109,LNKPBJJO_frag_01682_01683,PEOCBFCP_03023,GKBMFCDM_02990,GKMEBLJL_00443,HKAMFFJN_00773,JOBNEEKL_frag_00838_00839,,,,,LFPJLIBK_02943,,,,PGJOJFNN_00657,,IAPKCFHA_00547,BDHOLPHL_00613,DELEFPOC_00721,,HBJIBEPC_00892
Cluster_110,,,,,,,GACBFOHJ_02851,LLFCPLKD_00024,FNJAKAKL_01576,ECBNDIDM_00743,,IMJNKLBI_03202,EMNCPJML_01690,PLFJNGPA_02679,,ODFDBHOD_01877,,,,AHNHBFNE_00445,
Cluster_111,,,,,,,,,,,,,,,,,,,,AHNHBFNE_02341,
Cluster_112,LNKPBJJO_01961,PEOCBFCP_01982,GKBMFCDM_01391,GKMEBLJL_00234,HKAMFFJN_01761,JOBNEEKL_00209,GACBFOHJ_02150,LLFCPLKD_00282,FNJAKAKL_00918,,LFPJLIBK_01818,,EMNCPJML_00245,PLFJNGPA_02214,PGJOJFNN_01279,ODFDBHOD_02136,IAPKCFHA_02148,BDHOLPHL_01811,DELEFPOC_00459,AHNHBFNE_00162,HBJIBEPC_01869
Cluster_113,LNKPBJJO_01077,PEOCBFCP_02334,GKBMFCDM_02300,GKMEBLJL_03073,HKAMFFJN_01173,JOBNEEKL_01146,GACBFOHJ_00865,LLFCPLKD_01176,FNJAKAKL_frag_03196_03197,ECBNDIDM_01166,LFPJLIBK_02335,IMJNKLBI_01155,EMNCPJML_00952,PLFJNGPA_00941,PGJOJFNN_02725,ODFDBHOD_01222,IAPKCFHA_01867,,,,HBJIBEPC_02334
Cluster_114,,,,GKMEBLJL_00671,HKAMFFJN_refound_2,,,,FNJAKAKL_00319,,,,EMNCPJML_refound_2,,,,,,,,
Cluster_115,,PEOCBFCP_00278,GKBMFCDM_00276,GKMEBLJL_02452,HKAMFFJN_02423,JOBNEEKL_02397,,LLFCPLKD_02257,,ECBNDIDM_00570,LFPJLIBK_00032,IMJNKLBI_00569,EMNCPJML_01162,,PGJOJFNN_00462,ODFDBHOD_00442,IAPKCFHA_00033,BDHOLPHL_00032,DELEFPOC_02399,AHNHBFNE_01223,HBJIBEPC_00597
Cluster_116,,,,,,,,,,,,,,,,,,,,AHNHBFNE_03129,
Cluster_117,LNKPBJJO_02208,PEOCBFCP_02886,GKBMFCDM_02852,,,JOBNEEKL_01961,GACBFOHJ_01341,LLFCPLKD_00770,FNJAKAKL_00063,ECBNDIDM_01945,LFPJLIBK_01436,IMJNKLBI_01989,,PLFJNGPA_01406,PGJOJFNN_02227,ODFDBHOD_00469,,,,AHNHBFNE_00792,
Cluster_118,,,,,,,,,,,,,,,PGJOJFNN_01873,,,,,,
Cluster_119,,PEOCBFCP_02640,GKBMFCDM_02606,GKMEBLJL_01373,HKAMFFJN_00552,,,,,,,,EMNCPJML_02483,,PGJOJFNN_01624,,IAPKCFHA_01455,BDHOLPHL_01571,DELEFPOC_00833,,HBJIBEPC_01217
Cluster_120,LNKPBJJO_01422,PEOCBFCP_00845,GKBMFCDM_01436,GKMEBLJL_01531,HKAMFFJN_02531,JOBNEEKL_00574,GACBFOHJ_00008,LLFCPLKD_02846,FNJAKAKL_frag_02960_02961,ECBNDIDM_01090,LFPJLIBK_00581,IMJNKLBI_01078,EMNCPJML_02666,PLFJNGPA_00008,PGJOJFNN_01660,ODFDBHOD_02812,IAPKCFHA_00821,BDHOLPHL_02907,DELEFPOC_02290,AHNHBFNE_01124,HBJIBEPC_00695
Cluster_121,,,,,,,GACBFOHJ_01111,,,ECBNDIDM_02404,,IMJNKLBI_02634,,PLFJNGPA_01187,,,,,,,
Cluster_122,,,,,,,,,FNJAKAKL_02421,,,,,,,,,,,,
Cluster_123,LNKPBJJO_02746,,,,,,,,FNJAKAKL_03049,,,,,,,,,,,,
Cluster_124,,PEOCBFCP_02864,GKBMFCDM_02830,,,,,,,ECBNDIDM_01925,,IMJNKLBI_01969,,,PGJOJFNN_02242,,,,,AHNHBFNE_00809,HBJIBEPC_01040
Cluster_125,,,,GKMEBLJL_01664,,,,,,,,,,,,,,,,,
Cluster_126,LNKPBJJO_01610,PEOCBFCP_02967,GKBMFCDM_02933,GKMEBLJL_01674,HKAMFFJN_02624,JOBNEEKL_02979,GACBFOHJ_00630,LLFCPLKD_00838,FNJAKAKL_02055,ECBNDIDM_02063,LFPJLIBK_01317,IMJNKLBI_02107,EMNCPJML_02979,PLFJNGPA_00629,PGJOJFNN_02437,ODFDBHOD_00904,IAPKCFHA_01581,BDHOLPHL_00962,DELEFPOC_01305,AHNHBFNE_00670,HBJIBEPC_02197
Cluster_127,LNKPBJJO_01318,PEOCBFCP_00897,GKBMFCDM_00992,,HKAMFFJN_00828,JOBNEEKL_00703,GACBFOHJ_02958,LLFCPLKD_03032,FNJAKAKL_02161,ECBNDIDM_00904,LFPJLIBK_00647,IMJNKLBI_00892,EMNCPJML_00840,PLFJNGPA_02952,PGJOJFNN_02586,ODFDBHOD_00590,IAPKCFHA_02690,BDHOLPHL_00846,DELEFPOC_01189,AHNHBFNE_00501,HBJIBEPC_02301
Cluster_128,LNKPBJJO_frag_01973_01974,PEOCBFCP_01971,GKBMFCDM_01380,GKMEBLJL_00223,HKAMFFJN_01772,JOBNEEKL_frag_00221_00222,GACBFOHJ_02138,LLFCPLKD_00294,FNJAKAKL_01879,ECBNDIDM_02246,LFPJLIBK_01829,IMJNKLBI_02306,EMNCPJML_00233,PLFJNGPA_02202,PGJOJFNN_01291,ODFDBHOD_02148,IAPKCFHA_02137,BDHOLPHL_frag_01822_01823,DELEFPOC_frag_00447_00448,AHNHBFNE_00151,HBJIBEPC_01856
Cluster_129,,,,,,,,,,ECBNDIDM_02234,,IMJNKLBI_02294,,,,,,,,,
